id,name,officialName,region,address,phone,weekdayHours,saturdayHours,sundayHours,weekdayLunch,saturdayLunch,sundayLunch,note,lat,lng,svgX,svgY,coordinateMatchStatus,coordinateAddressScore,naverMapUrl,welfarePortalUrl
11-충일,충일,충일(영외),남양주,경기도 남양주시 홍유릉로 134-2,031-591-1173,10:00~19:00,10:30~15:00,휴무 또는 미제공,,,,마지막주 수요일  14:30~19:00 개점,37.63,127.17,432.49,443.55,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%B6%A9%EC%9D%BC%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%82%A8%EC%96%91%EC%A3%BC%EC%8B%9C%20%ED%99%8D%EC%9C%A0%EB%A6%89%EB%A1%9C%20134-2,https://www.welfare.mil.kr
12-충호,충호,충호(영외),남양주,경기도 남양주시 와부읍 석실로 260번길 80,070-4251-0593,10:30~19:30,10:30~15:00,휴무 또는 미제공,12:00~13:00,,,마지막주 수요일 15:00~19:30 개점,37.57,127.22,459.38,484.33,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%B6%A9%ED%98%B8%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%82%A8%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%99%80%EB%B6%80%EC%9D%8D%20%EC%84%9D%EC%8B%A4%EB%A1%9C%20260%EB%B2%88%EA%B8%B8%2080,https://www.welfare.mil.kr
13-동두천,동두천,동두천(영외),동두천,경기도 동두천시 상패로 138,031-858-4036,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),37.9,127.06,373.93,260.19,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%8F%99%EB%91%90%EC%B2%9C%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EB%8F%99%EB%91%90%EC%B2%9C%EC%8B%9C%20%EC%83%81%ED%8C%A8%EB%A1%9C%20138,https://www.welfare.mil.kr
14-럭키,럭키,럭키(영외),성남,경기도 성남시 분당구 이매로 173(럭키회관 1층),070-4251-0641,11:00~16:30,미운영,휴무 또는 미제공,,,,마지막주 수요일 15:00~19:30 개점,37.39,127.12,404.82,606.21,matched_name_and_address,0.92,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%9F%AD%ED%82%A4%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EB%B6%84%EB%8B%B9%EA%B5%AC%20%EC%9D%B4%EB%A7%A4%EB%A1%9C%20173(%EB%9F%AD%ED%82%A4%ED%9A%8C%EA%B4%80%201%EC%B8%B5),https://www.welfare.mil.kr
15-우정,우정,우정(영외),성남,경기도 성남시 수정구 대왕판교로 1187,031-755-4656,10:00~19:00,10:30~15:00,휴무 또는 미제공,,,,"분리운영 평일 (월~금) 10:30~17:00(全 국방가족)                 17:00~19:30(현역,현역가족) 주말 10:30~13:00(현역,현역가족)",37.41,127.13,410.29,592.67,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%9A%B0%EC%A0%95%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%84%B1%EB%82%A8%EC%8B%9C%20%EC%88%98%EC%A0%95%EA%B5%AC%20%EB%8C%80%EC%99%95%ED%8C%90%EA%B5%90%EB%A1%9C%201187,https://www.welfare.mil.kr
16--공-관사,(공)관사,(공)관사(영외),수원,경기도 수원시 권선구 경수대로 168번길 79,070-4251-0816,10:30~19:30,10:30~15:00,휴무 또는 미제공,,,,"분리운영주말 10:30~13:00(현역,현역가족)        13:00~15:00(全 국방가족)마지막주 수요일 15:00~19:30 개점",37.259,127.01,344.75,694.77,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20(%EA%B3%B5)%EA%B4%80%EC%82%AC%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%88%98%EC%9B%90%EC%8B%9C%20%EA%B6%8C%EC%84%A0%EA%B5%AC%20%EA%B2%BD%EC%88%98%EB%8C%80%EB%A1%9C%20168%EB%B2%88%EA%B8%B8%2079,https://www.welfare.mil.kr
17-박달,박달,박달(영외),안양,경기도 안양시 만안구 삼봉로 66,031-445-4595,10:30~19:30,09:00~18:00,휴무 또는 미제공,,,,"분리운영 주말 09:00~13:00(현역,현역가족)       13:00~18:00(全 국방가족) 마지막주 수요일 15:00~19:30 개점주말마트운영정상화(26.3.1.부)",37.3889,126.954,314.86,606.51,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%B0%95%EB%8B%AC%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%95%88%EC%96%91%EC%8B%9C%20%EB%A7%8C%EC%95%88%EA%B5%AC%20%EC%82%BC%EB%B4%89%EB%A1%9C%2066,https://www.welfare.mil.kr
18-백석,백석,백석(영외),양주,경기도 양주시 백석읍 부흥로 1071-41,031-879-7810,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),37.78,127.05,368.15,341.55,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%B0%B1%EC%84%9D%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%B0%B1%EC%84%9D%EC%9D%8D%20%EB%B6%80%ED%9D%A5%EB%A1%9C%201071-41,https://www.welfare.mil.kr
19-신산,신산,신산(영외),양주,경기도  양주시 남면 개나리 11길 43 (신산마트),031-863-6235,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),37.86,127.02,352.26,287.21,matched_name_and_address,0.92,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%8B%A0%EC%82%B0%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EB%82%A8%EB%A9%B4%20%EA%B0%9C%EB%82%98%EB%A6%AC%2011%EA%B8%B8%2043%20(%EC%8B%A0%EC%82%B0%EB%A7%88%ED%8A%B8),https://www.welfare.mil.kr
20-올림픽,올림픽,올림픽(영외),양주,양주시 장흥면 북한산로 966-8,070-4251-0560,10:00~19:00,10:00~16:00,휴무 또는 미제공,13:00~14:00,12:30~13:00,,매월 마지막주 수요일 운영시간 (14:00~18:00),37.72,126.92,341.55,322,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%98%AC%EB%A6%BC%ED%94%BD%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EC%96%91%EC%A3%BC%EC%8B%9C%20%EC%9E%A5%ED%9D%A5%EB%A9%B4%20%EB%B6%81%ED%95%9C%EC%82%B0%EB%A1%9C%20966-8,https://www.welfare.mil.kr
21--공-용문산,(공)용문산,(공)용문산(영외),양평,경기도 양평군옥천3리 486번지공군아파트내,070-4251-4064,10:30~19:20,10:00~14:50,휴무 또는 미제공,12:0013:00,12:00~12:30,,,37.54,127.56,643.2,504.89,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20(%EA%B3%B5)%EC%9A%A9%EB%AC%B8%EC%82%B0%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%ED%8F%89%EA%B5%B0%EC%98%A5%EC%B2%9C3%EB%A6%AC%20486%EB%B2%88%EC%A7%80%EA%B3%B5%EA%B5%B0%EC%95%84%ED%8C%8C%ED%8A%B8%EB%82%B4,https://www.welfare.mil.kr
22-마룡리,마룡리,마룡리(영외),양평,경기도 양평군 용문면 마룡리314번지,070-4251-4065,10:30~19:20,10:00~14:50,휴무 또는 미제공,,,,매월 4주차 수요일 재물조사 09:30 ~ 14:00,37.56,127.62,675.64,491.29,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%A7%88%EB%A3%A1%EB%A6%AC%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%ED%8F%89%EA%B5%B0%20%EC%9A%A9%EB%AC%B8%EB%A9%B4%20%EB%A7%88%EB%A3%A1%EB%A6%AC314%EB%B2%88%EC%A7%80,https://www.welfare.mil.kr
23-충정,충정,충정(영외),양평,경기도 양평군 양평읍 창대리397,031-771-3279,10:30~19:20,10:00~14:50,휴무 또는 미제공,,,,매월 3주차 수요일 재물조사 09:10 ~ 14:00,37.49,127.49,605.34,538.8,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%B6%A9%EC%A0%95%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%ED%8F%89%EA%B5%B0%20%EC%96%91%ED%8F%89%EC%9D%8D%20%EC%B0%BD%EB%8C%80%EB%A6%AC397,https://www.welfare.mil.kr
24-행복,행복,행복(영외),양평,경기도 양평군 옥천면 용천리 828-21 61여단 화랑APT내,070-4251-0973,10:30~19:20,10:00~14:50,휴무 또는 미제공,12:0013:00,12:00~12:30,,,37.52,127.54,632.39,518.46,matched_name_and_address,0.92,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%ED%96%89%EB%B3%B5%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%96%91%ED%8F%89%EA%B5%B0%20%EC%98%A5%EC%B2%9C%EB%A9%B4%20%EC%9A%A9%EC%B2%9C%EB%A6%AC%20828-21%2061%EC%97%AC%EB%8B%A8%20%ED%99%94%EB%9E%91APT%EB%82%B4,https://www.welfare.mil.kr
25-대광리,대광리,대광리(영외),연천,경기도 연천군 신서면 연신로 1114,031-834-8071,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),38.08,127.18,438.94,138.37,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%8C%80%EA%B4%91%EB%A6%AC%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%B0%EC%B2%9C%EA%B5%B0%20%EC%8B%A0%EC%84%9C%EB%A9%B4%20%EC%97%B0%EC%8B%A0%EB%A1%9C%201114,https://www.welfare.mil.kr
26-전곡푸르미,전곡푸르미,전곡푸르미(영외),연천,경기도 연천군 전곡읍 평화로 673번길61,070-4251-4067,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),38.01,127.12,406.53,185.72,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%A0%84%EA%B3%A1%ED%91%B8%EB%A5%B4%EB%AF%B8%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%B0%EC%B2%9C%EA%B5%B0%20%EC%A0%84%EA%B3%A1%EC%9D%8D%20%ED%8F%89%ED%99%94%EB%A1%9C%20673%EB%B2%88%EA%B8%B861,https://www.welfare.mil.kr
27-통현,통현,통현(영외),연천,경기도 연천군 연천읍 평화로 1239,070-4251-0972,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),38.09,127.07,379.91,131.35,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%ED%86%B5%ED%98%84%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%97%B0%EC%B2%9C%EA%B5%B0%20%EC%97%B0%EC%B2%9C%EC%9D%8D%20%ED%8F%89%ED%99%94%EB%A1%9C%201239,https://www.welfare.mil.kr
28-선봉,선봉,선봉(영외),용인,경기도 용인시 처인구 중부대로 1340,031-336-2872,10:00~19:00,10:30~15:00,휴무 또는 미제공,,,,"분리운영(25.4.27.토 부) 주말 10:30~13:00(현역,현역가족)       13:00~15:00(全 국방가족) 마지막주 수요일  14:30~19:00 개점",37.2341,127.2043,450.17,712.1,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%84%A0%EB%B4%89%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EC%A4%91%EB%B6%80%EB%8C%80%EB%A1%9C%201340,https://www.welfare.mil.kr
29-선봉레스텔,선봉레스텔,선봉레스텔(영외),용인,경기도 용인시 처인구 금학로 235번길 26번지,070-4251-0743,10:30~19:30,10:30~15:00,휴무 또는 미제공,,,,"분리운영 주말 10:30~13:00(현역,현역가족)       13:00~15:00(全 국방가족) 마지막주 수요일 15:00~19:30 개점",37.238,127.199,447.3,709.44,matched_name_and_address,0.92,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%84%A0%EB%B4%89%EB%A0%88%EC%8A%A4%ED%85%94%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EC%B2%98%EC%9D%B8%EA%B5%AC%20%EA%B8%88%ED%95%99%EB%A1%9C%20235%EB%B2%88%EA%B8%B8%2026%EB%B2%88%EC%A7%80,https://www.welfare.mil.kr
30-의정부푸르미,의정부푸르미,의정부푸르미(영외),의정부,경기도 의정부시 가능동 직곡로 6,070-4101-3254,1000~19:30,10:00~15:00,휴무 또는 미제공,12:30~13:30,,,일요일 휴무 /매월 마지막주 수요일 폐창식 재물조사(10:00~14:50),37.74,127.04,362.63,368.65,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%9D%98%EC%A0%95%EB%B6%80%ED%91%B8%EB%A5%B4%EB%AF%B8%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%8B%9C%20%EA%B0%80%EB%8A%A5%EB%8F%99%20%EC%A7%81%EA%B3%A1%EB%A1%9C%206,https://www.welfare.mil.kr
31-도하,도하,도하(영외),이천,경기도 이천시 설성면 설성로 508,070-4251-2303,10:30~19:30,10:30~15:00,휴무 또는 미제공,13:00~14:00,,,,37.18,127.49,605.32,749.03,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%8F%84%ED%95%98%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%84%A4%EC%84%B1%EB%A9%B4%20%EC%84%A4%EC%84%B1%EB%A1%9C%20508,https://www.welfare.mil.kr
32-비승,비승,비승(영외),이천,경기도 이천시 진상미로 1700-29,070-4251-0810,10:30~19:30,10:30~15:00,휴무 또는 미제공,,,,마지막주 수요일 15:00~19:30 개점,37.16,127.42,567.27,762.58,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EB%B9%84%EC%8A%B9%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%A7%84%EC%83%81%EB%AF%B8%EB%A1%9C%201700-29,https://www.welfare.mil.kr
33-아름,아름,아름(영외),이천,경기도 이천시 마장면 마도로12,031-631-4151,09:30~18:30,09:00~18:00,휴무 또는 미제공,,,,마지막주 수요일  14:00~18:30 개점,37.27,127.44,578.18,687.99,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%95%84%EB%A6%84%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EB%A7%88%EC%9E%A5%EB%A9%B4%20%EB%A7%88%EB%8F%84%EB%A1%9C12,https://www.welfare.mil.kr
34-이천상승점,이천상승점,이천상승점,이천,경기도 이천시 장호원읍 경충대로 717,031-640-1126 070-4251-0803,10:30~19:30,10:30~15:00,휴무 또는 미제공,,,,마지막주 수요일 15:00~19:30 개점,37.1,127.54,632.51,803.28,matched_name_and_address,1,https://map.naver.com/p/search/%EA%B5%AD%EA%B5%B0%EB%B3%B5%EC%A7%80%EB%8B%A8%20%EC%9D%B4%EC%B2%9C%EC%83%81%EC%8A%B9%EC%A0%90%20%EA%B5%B0%EB%A7%88%ED%8A%B8%20%EA%B2%BD%EA%B8%B0%EB%8F%84%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%9E%A5%ED%98%B8%EC%9B%90%EC%9D%8D%20%EA%B2%BD%EC%B6%A9%EB%8C%80%EB%A1%9C%20717,https://www.welfare.mil.kr
